gridcode;year;nitrate;rainfall;oxygen;area;emission;stockage;grass;vegetableG1;vegetableG2;vegetableG3;catchcrop;norm_N;deposition
9905;2012;5.7;107.34825;0;0.806466715;0.004336228;0.000395454;0.41146924;0;0.016799801;0.011472521;yes;0.026364767;0.003150831
9905;2013;0.52;41.98187879;0;0.797904114;0.003865381;-0.000419237;0.406273276;0;0.011908031;0;yes;0.025860624;0.002770073
10007;2008;2.1;53.20106926;0;0.891477194;0.002891682;-0.000779819;0.189266968;0;0;0;no;0.023309882;0.003469817
10007;2010;0.81;35.16755952;0;0.891173965;0.002914359;-0.000146638;0.174783327;0;0;0;no;0.018842508;0.002784791
10007;2011;3.3;110.798359;0;0.889909414;0.002972778;-0.00226514;0.188469331;0;0;0;no;0.024118664;0.003150062
10007;2012;9;107.34825;0;0.893157087;0.003277971;0.001205373;0.17154073;0;0;0;no;0.020850894;0.003071392
10007;2013;5.3;65.56233333;70;0.881075747;0.003284381;-0.000453607;0.160889733;0;0;0;no;0.019710236;0.002710461
13000;2008;8.3;87.0575;79.8;0.793316198;0.00180747;-0.000245303;0.229273328;0;0;0;no;0.022993893;0.003193499
13000;2009;7.5;168.47;54.5;0.791218681;0.001911172;-0.000322366;0.22699292;0;0;0;no;0.025025347;0.002813222
13000;2010;5.8;123.9220455;43.5;0.790320061;0.001906634;-0.000239452;0.227425701;0;0;0;no;0.023131782;0.00262194
13000;2011;5;175.0377778;62.4;0.786705666;0.001910599;-0.000626419;0.250520912;0.000944129;0.013459962;0.007488216;yes;0.023681326;0.00290684
13000;2012;6.5;79.8077381;62.5;0.790015154;0.002011173;-0.000232161;0.227804785;0.000463434;0.01800942;1.85E-05;yes;0.024511315;0.002778041
13000;2013;6;181.3542698;52.4;0.786029077;0.001833947;6.21E-05;0.222009042;0.000562898;0.011772814;0;yes;0.023094727;0.002501719
13100;2008;14;84.80457143;62.1;0.690097143;0.002522344;-0.00020508;0.266178964;0;0;0;no;0.023320068;0.003701314
13100;2009;8.5;168.47;62.9;0.685721767;0.002702761;-0.00043287;0.238168057;0;0;0;no;0.023925784;0.003270102
13100;2010;11.6;235.4825;37.6;0.685354548;0.003016812;-0.000233007;0.234815547;0;0;0;no;0.023468248;0.003116064
13100;2011;8.6;98.98972222;75;0.682995793;0.002800557;-0.000531584;0.253560653;0;0.00376477;0;no;0.023573963;0.00337546
13100;2012;9.4;157.7979167;44.3;0.68649545;0.00264512;0.000305942;0.228519959;0;0.008841585;0.029825286;no;0.023619829;0.003215
13100;2013;6.6;181.3542698;75.6;0.685470352;0.002505985;-0.000406163;0.23387108;0;0.010313492;0;no;0.02133652;0.002928262
13500;2008;5.6;87.0575;75.8;0.888712836;0.001572767;-0.00040055;0.160914442;0;0;0;yes;0.02247356;0.00327062
13500;2009;4.4;168.47;63.8;0.878233404;0.001458178;-0.000182057;0.162646763;0;0;0;yes;0.024201606;0.002909933
13500;2010;1.9;35.16755952;0;0.877737518;0.001380591;-0.000156416;0.157787967;0;0;0;yes;0.022334853;0.002714732
