PointId;year;nitrate;oxygen;pigsmanure;totalnitrogen;grass;vegetables;catchcrop;follow crop;norm
9905;2009;9.410390964;63.89160181;0.004537949;0.020748059;0.410216731;0;no;0.896209728;0.02695347
9905;2010;5.086029505;48.37930505;0.004086711;0.022042663;0.397818466;0;no;0.881469335;0.027111774
9905;2011;5.091254863;65.19289764;0.005057312;0.020945592;0.377780244;0;no;0.837972587;0.02470015
9905;2012;7.067867647;0;0.005113104;0.021451495;0.41146924;0;no;0.860182612;0.026364767
9905;2013;0.65170738;0;0.00434558;0.020572601;0.406273276;0;no;0.821272106;0.025860624
9905;2014;4.638926802;0;0.003901641;0.021318389;0.374406678;0;no;0.862908703;0.025864002
10007;2007;2.503073909;0;0.008482259;0.013709149;0.228822908;0;no;1;0.023920886
10007;2008;2.355640743;0;0.009682023;0.01565795;0.189266968;0;no;0.971772563;0.023309882
10007;2010;0.908913446;0;0.010007047;0.017678466;0.174783327;0;no;0.992591143;0.018842508
10007;2011;3.708242603;0;0.011623224;0.017647972;0.188469331;0;no;0.630891495;0.024118664
10007;2012;10.07661489;0;0.011937269;0.017443047;0.17154073;0;no;0.839748267;0.020850894
10007;2013;6.015373842;79.44833377;0.011840867;0.017806132;0.160889733;0;no;0.944210627;0.019710236
10007;2014;1.666693384;74.43813018;0.011737564;0.018183455;0.174163873;0;no;0.935699587;0.020692858
13000;2007;11.73719617;90.99482193;0.003200148;0.021982087;0.270095515;0;no;1;0.024731394
13000;2008;10.46241085;100.590408;0.002785943;0.02284424;0.229273328;0;no;0.868989638;0.022993893
13000;2009;9.479048188;68.8810835;0.003285575;0.022390589;0.22699292;0;no;0.879033423;0.025025347
13000;2010;7.338798904;55.04099178;0.003222427;0.021316638;0.227425701;0;no;0.890037993;0.023131782
13000;2011;6.35561712;79.31810166;0.002655034;0.021165203;0.250520912;0.000944129;no;0.815821422;0.023681326
13000;2012;8.227690275;79.11240649;0.002785264;0.021539348;0.227804785;0.000463434;no;0.66369196;0.024511315
13000;2013;7.633305405;66.66420054;0.002576494;0.021047622;0.222009042;0.000562898;no;0.758612911;0.023094727
13000;2014;7.277050593;92.6866444;0.002184281;0.021696655;0.236969403;0.000263882;no;0.68857941;0.024414047
13100;2007;12.32719293;81.64952496;0.004762649;0.019731803;0.277503776;0;no;1;0.024639718
13100;2008;20.28699893;89.98733096;0.00436182;0.019325607;0.266178964;0;no;0.824639986;0.023320068
13100;2009;12.3956981;91.72816593;0.005404317;0.019502925;0.238168057;0;no;0.920042678;0.023925784
13100;2010;16.92554611;54.86211498;0.005864294;0.021364199;0.234815547;0;no;0.847227426;0.023468248
13100;2011;12.59158561;109.8103396;0.004577055;0.019419752;0.253560653;0;no;0.742411066;0.023573963
13100;2012;13.69273461;64.53065351;0.004327352;0.020914603;0.228519959;0;no;0.650576577;0.023619829
13100;2013;9.628425188;110.289234;0.003831102;0.018157744;0.23387108;0;no;0.665031533;0.02133652
13100;2014;6.285113949;98.07701069;0.002798889;0.02128907;0.261618338;0;no;0.691537985;0.023038389
13500;2007;3.969878946;62.83751246;0.002505603;0.020927418;0.217320577;0;no;1;0.023325478
13500;2008;6.301248024;85.2918929;0.002913021;0.021169212;0.160914442;0;no;0.887202535;0.02247356
13500;2009;5.010057668;72.64583619;0.003365373;0.021797701;0.162646763;0;no;0.877842098;0.024201606
13500;2010;2.164656244;0;0.002994218;0.019935423;0.157787967;0;no;0.891573774;0.022334853
13500;2011;6.388168709;0;0.002141094;0.019786439;0.190468318;0;no;0.79361416;0.022533877
